form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,source,page,language_id
maringsaibol001,no_stem,1.sg,kei,kei,kei,k ei,k ei,unspecified,,Kanshouwa2026Saibol,nopage,maringsaibol
maringsaibol002,no_stem,1.pl.excl,keini,keini,kei+ni,k ei n i,k ei + n i,unspecified,,Kanshouwa2026Saibol,nopage,maringsaibol
maringsaibol003,no_stem,1.pl.incl,ani,ani,a+ni,a n i,a + n i,unspecified,,Kanshouwa2026Saibol,nopage,maringsaibol
maringsaibol004,no_stem,2.sg,nang,nang,nang,n a ŋ,n a ŋ,unspecified,,Kanshouwa2026Saibol,nopage,maringsaibol
maringsaibol005,no_stem,2.pl,nangni,nangni,nang+ni,n a ŋ n i,n a ŋ + n i,unspecified,,Kanshouwa2026Saibol,nopage,maringsaibol
maringsaibol006,no_stem,3.sg,ama,ama,a+ma,a m a,a + m a,unspecified,,Kanshouwa2026Saibol,nopage,maringsaibol
maringsaibol007,no_stem,3.pl,amani,amani,a+ma+ni,a m a n i,a + m a + n i,unspecified,,Kanshouwa2026Saibol,nopage,maringsaibol
maringsaibol008,shi,1.sg.fut.aff,ka-shi-num-mang,ka-Σ-num-mang,ka+Σ+num+mang,k a Σ n u m m a ŋ,k a + Σ + n u m + m a ŋ,unspecified,morphophon,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol009,shi,1.sg.fut.aff,ka-shi-num-ang,ka-Σ-num-ang,ka+Σ+num+ang,k a Σ n u m a ŋ,k a + Σ + n u m + a ŋ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol010,shi,1.pl.excl.fut.aff,ka-shi-num-mang,ka-Σ-num-mang,ka+Σ+num+mang,k a Σ n u m m a ŋ,k a + Σ + n u m + m a ŋ,unspecified,morphophon,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol011,shi,1.pl.excl.fut.aff,ka-shi-num-ang,ka-Σ-num-ang,ka+Σ+num+ang,k a Σ n u m a ŋ,k a + Σ + n u m + a ŋ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol012,shi,1.pl.incl.fut.aff,ka-shi-num-min,ka-Σ-num-min,ka+Σ+num+min,k a Σ n u m m i n,k a + Σ + n u m + m i n,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol013,mu,1.sg.2.sg.fut.aff,ka-mu-num-mang,ka-Σ-num-mang,ka+Σ+num+mang,k a Σ n u m m a ŋ,k a + Σ + n u m + m a ŋ,unspecified,morphophon,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol014,mu,1.sg.2.sg.fut.aff,ka-mu-num-ang,ka-Σ-num-ang,ka+Σ+num+ang,k a Σ n u m a ŋ,k a + Σ + n u m + a ŋ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol015,mu,1.sg.2.pl.fut.aff,ka-mu-num-mang,ka-Σ-num-mang,ka+Σ+num+mang,k a Σ n u m m a ŋ,k a + Σ + n u m + m a ŋ,unspecified,morphophon,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol016,mu,1.sg.2.pl.fut.aff,ka-mu-num-ang,ka-Σ-num-ang,ka+Σ+num+ang,k a Σ n u m a ŋ,k a + Σ + n u m + a ŋ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol017,mu,1.pl.excl.2.sg.fut.aff,ka-mu-num-mang,ka-Σ-num-mang,ka+Σ+num+mang,k a Σ n u m m a ŋ,k a + Σ + n u m + m a ŋ,unspecified,morphophon,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol018,mu,1.pl.excl.2.sg.fut.aff,ka-mu-num-ang,ka-Σ-num-ang,ka+Σ+num+ang,k a Σ n u m a ŋ,k a + Σ + n u m + a ŋ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol019,mu,1.pl.excl.2.pl.fut.aff,ka-mu-num-mang,ka-Σ-num-mang,ka+Σ+num+mang,k a Σ n u m m a ŋ,k a + Σ + n u m + m a ŋ,unspecified,morphophon,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol020,mu,1.pl.excl.2.pl.fut.aff,ka-mu-num-ang,ka-Σ-num-ang,ka+Σ+num+ang,k a Σ n u m a ŋ,k a + Σ + n u m + a ŋ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol021,mu,1.sg.3.sg.fut.aff,ka-mu-num-mang,ka-Σ-num-mang,ka+Σ+num+mang,k a Σ n u m m a ŋ,k a + Σ + n u m + m a ŋ,unspecified,morphophon,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol022,mu,1.sg.3.sg.fut.aff,ka-mu-num-ang,ka-Σ-num-ang,ka+Σ+num+ang,k a Σ n u m a ŋ,k a + Σ + n u m + a ŋ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol023,mu,1.sg.3.pl.fut.aff,ka-mu-num-mang,ka-Σ-num-mang,ka+Σ+num+mang,k a Σ n u m m a ŋ,k a + Σ + n u m + m a ŋ,unspecified,morphophon,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol024,mu,1.sg.3.pl.fut.aff,ka-mu-num-ang,ka-Σ-num-ang,ka+Σ+num+ang,k a Σ n u m a ŋ,k a + Σ + n u m + a ŋ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol025,mu,1.pl.excl.3.sg.fut.aff,ka-mu-num-ang,ka-Σ-num-ang,ka+Σ+num+ang,k a Σ n u m a ŋ,k a + Σ + n u m + a ŋ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol026,mu,1.pl.incl.3.sg.fut.aff,ka-mu-num-min,ka-Σ-num-min,ka+Σ+num+min,k a Σ n u m m i n,k a + Σ + n u m + m i n,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol027,mu,1.pl.excl.3.pl.fut.aff,ka-mu-num-mang,ka-Σ-num-mang,ka+Σ+num+mang,k a Σ n u m m a ŋ,k a + Σ + n u m + m a ŋ,unspecified,morphophon,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol028,mu,1.pl.excl.3.pl.fut.aff,ka-mu-num-ang,ka-Σ-num-ang,ka+Σ+num+ang,k a Σ n u m a ŋ,k a + Σ + n u m + a ŋ,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol029,mu,1.pl.incl.3.pl.fut.aff,ka-mu-num-min,ka-Σ-num-min,ka+Σ+num+min,k a Σ n u m m i n,k a + Σ + n u m + m i n,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol030,shi,2.pl.fut.aff,ka-shi-num-chau,ka-Σ-num-chau,ka+Σ+num+cha+u,k a Σ n u m tʃ a u,k a + Σ + n u m + tʃ a + u,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol031,mu,2.sg.1.sg.fut.aff,ka-mu-num-cha,ka-Σ-num-cha,ka+Σ+num+cha,k a Σ n u m tʃ a,k a + Σ + n u m + tʃ a,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol032,mu,2.sg.1.pl.excl.fut.aff,ka-mu-num-cha,ka-Σ-num-cha,ka+Σ+num+cha,k a Σ n u m tʃ a,k a + Σ + n u m + tʃ a,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol033,mu,2.pl.1.sg.fut.aff,ka-mu-num-chau,ka-Σ-num-chau,ka+Σ+num+cha+u,k a Σ n u m tʃ a u,k a + Σ + n u m + tʃ a + u,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol034,mu,2.pl.1.pl.excl.fut.aff,ka-mu-num-chau,ka-Σ-num-chau,ka+Σ+num+cha+u,k a Σ n u m tʃ a u,k a + Σ + n u m + tʃ a + u,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol035,mu,2.sg.3.sg.fut.aff,ka-mu-num-cha,ka-Σ-num-cha,ka+Σ+num+cha,k a Σ n u m tʃ a,k a + Σ + n u m + tʃ a,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol036,mu,2.sg.3.pl.fut.aff,ka-mu-num-cha,ka-Σ-num-cha,ka+Σ+num+cha,k a Σ n u m tʃ a,k a + Σ + n u m + tʃ a,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol037,mu,2.pl.3.sg.fut.aff,ka-mu-num-chau,ka-Σ-num-chau,ka+Σ+num+cha+u,k a Σ n u m tʃ a u,k a + Σ + n u m + tʃ a + u,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol038,mu,2.pl.3.pl.fut.aff,ka-mu-num-chau,ka-Σ-num-chau,ka+Σ+num+cha+u,k a Σ n u m tʃ a u,k a + Σ + n u m + tʃ a + u,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol039,shi,3.sg.fut.aff,ka-shi-num,ka-Σ-num,ka+Σ+num,k a Σ n u m,k a + Σ + n u m,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol040,shi,3.pl.fut.aff,ka-shi-num-ei,ka-Σ-num-ei,ka+Σ+num+ei,k a Σ n u m ei,k a + Σ + n u m + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol041,mu,3.sg.1.sg.fut.aff,ka-mu-num,ka-Σ-num,ka+Σ+num,k a Σ n u m,k a + Σ + n u m,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol042,mu,3.sg.1.pl.excl.fut.aff,ka-mu-num,ka-Σ-num,ka+Σ+num,k a Σ n u m,k a + Σ + n u m,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol043,mu,3.sg.1.pl.incl.fut.aff,ka-mu-num,ka-Σ-num,ka+Σ+num,k a Σ n u m,k a + Σ + n u m,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol044,mu,3.pl.1.sg.fut.aff,ka-mu-num-mei,ka-Σ-num-mei,ka+Σ+num+mei,k a Σ n u m m ei,k a + Σ + n u m + m ei,unspecified,morphophon,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol045,mu,3.pl.1.sg.fut.aff,ka-mu-num-ei,ka-Σ-num-ei,ka+Σ+num+ei,k a Σ n u m ei,k a + Σ + n u m + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol046,mu,3.pl.1.pl.excl.fut.aff,ka-mu-num-mei,ka-Σ-num-mei,ka+Σ+num+mei,k a Σ n u m m ei,k a + Σ + n u m + m ei,unspecified,morphophon,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol047,mu,3.pl.1.pl.excl.fut.aff,ka-mu-num-ei,ka-Σ-num-ei,ka+Σ+num+ei,k a Σ n u m ei,k a + Σ + n u m + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol048,mu,3.pl.1.pl.incl.fut.aff,ka-mu-num-mei,ka-Σ-num-mei,ka+Σ+num+mei,k a Σ n u m m ei,k a + Σ + n u m + m ei,unspecified,morphophon,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol049,mu,3.pl.1.pl.incl.fut.aff,ka-mu-num-ei,ka-Σ-num-ei,ka+Σ+num+ei,k a Σ n u m ei,k a + Σ + n u m + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol050,mu,3.sg.2.sg.fut.aff,ka-mu-num,ka-Σ-num,ka+Σ+num,k a Σ n u m,k a + Σ + n u m,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol051,mu,3.sg.2.pl.fut.aff,ka-mu-num,ka-Σ-num,ka+Σ+num,k a Σ n u m,k a + Σ + n u m,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol052,mu,3.pl.2.sg.fut.aff,ka-mu-num-mei,ka-Σ-num-mei,ka+Σ+num+mei,k a Σ n u m m ei,k a + Σ + n u m + m ei,unspecified,morphophon,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol053,mu,3.pl.2.sg.fut.aff,ka-mu-num-ei,ka-Σ-num-ei,ka+Σ+num+ei,k a Σ n u m ei,k a + Σ + n u m + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol054,mu,3.pl.2.pl.fut.aff,ka-mu-num-mei,ka-Σ-num-mei,ka+Σ+num+mei,k a Σ n u m m ei,k a + Σ + n u m + m ei,unspecified,morphophon,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol055,mu,3.pl.2.pl.fut.aff,ka-mu-num-ei,ka-Σ-num-ei,ka+Σ+num+ei,k a Σ n u m ei,k a + Σ + n u m + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol056,mu,3.sg.3.sg.fut.aff,ka-mu-num,ka-Σ-num,ka+Σ+num,k a Σ n u m,k a + Σ + n u m,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol057,mu,3.sg.3.pl.fut.aff,ka-mu-num,ka-Σ-num,ka+Σ+num,k a Σ n u m,k a + Σ + n u m,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol058,mu,3.pl.3.sg.fut.aff,ka-mu-num-mei,ka-Σ-num-mei,ka+Σ+num+mei,k a Σ n u m m ei,k a + Σ + n u m + m ei,unspecified,morphophon,Kanshouwa2026SaibolMaring,nopage,maringsaibol
maringsaibol059,mu,3.pl.3.sg.fut.aff,ka-mu-num-ei,ka-Σ-num-ei,ka+Σ+num+ei,k a Σ n u m ei,k a + Σ + n u m + ei,unspecified,,Kanshouwa2026SaibolMaring,nopage,maringsaibol
