morph_id,morph,position,in_cells,in_forms,language_id
maringsaibolM01,a,free,1.pl.incl; 3.sg; 3.pl,maringsaibol003; maringsaibol006; maringsaibol007,maringsaibol
maringsaibolM02,a ŋ,post,1.sg.fut.aff; 1.pl.excl.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff; 1.pl.excl.3.sg.fut.aff; 1.pl.excl.3.pl.fut.aff; 1.sg.fut.neg; 1.pl.excl.fut.neg; 1.sg.2.sg.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.pl.excl.2.sg.fut.neg; 1.pl.excl.2.pl.fut.neg; 1.sg.3.sg.fut.neg; 1.pl.excl.3.sg.fut.neg; 1.pl.excl.3.pl.fut.neg; 1.sg.nfut.aff; 1.pl.excl.nfut.aff; 1.sg.2.sg.nfut.aff; 1.sg.2.pl.nfut.aff; 1.pl.excl.2.sg.nfut.aff; 1.pl.excl.2.pl.nfut.aff; 1.sg.3.sg.nfut.aff; 1.sg.3.pl.nfut.aff; 1.pl.excl.3.sg.nfut.aff; 1.pl.excl.3.pl.nfut.aff; 1.sg.nfut.neg; 1.pl.excl.nfut.neg; 1.sg.2.sg.nfut.neg; 1.sg.2.pl.nfut.neg; 1.pl.excl.2.sg.nfut.neg; 1.pl.excl.2.pl.nfut.neg; 1.sg.3.sg.nfut.neg; 1.sg.3.pl.nfut.neg; 1.pl.excl.3.sg.nfut.neg; 1.pl.excl.3.pl.nfut.neg,maringsaibol009; maringsaibol011; maringsaibol014; maringsaibol016; maringsaibol018; maringsaibol020; maringsaibol022; maringsaibol024; maringsaibol025; maringsaibol028; maringsaibol063; maringsaibol065; maringsaibol068; maringsaibol070; maringsaibol072; maringsaibol074; maringsaibol076; maringsaibol078; maringsaibol080; maringsaibol083; maringsaibol119; maringsaibol120; maringsaibol122; maringsaibol123; maringsaibol124; maringsaibol125; maringsaibol126; maringsaibol127; maringsaibol128; maringsaibol130; maringsaibol158; maringsaibol159; maringsaibol161; maringsaibol162; maringsaibol163; maringsaibol164; maringsaibol165; maringsaibol166; maringsaibol167; maringsaibol169,maringsaibol
maringsaibolM03,ei,post,3.pl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 3.pl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg; 3.pl.nfut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.pl.excl.nfut.aff; 3.pl.1.pl.incl.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.pl.nfut.aff; 3.pl.3.sg.nfut.aff; 3.pl.3.pl.nfut.aff; 3.pl.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.incl.nfut.neg; 3.pl.2.sg.nfut.neg; 3.pl.2.pl.nfut.neg; 3.pl.3.sg.nfut.neg; 3.pl.3.pl.nfut.neg,maringsaibol040; maringsaibol045; maringsaibol047; maringsaibol049; maringsaibol053; maringsaibol055; maringsaibol059; maringsaibol061; maringsaibol097; maringsaibol102; maringsaibol104; maringsaibol106; maringsaibol110; maringsaibol112; maringsaibol116; maringsaibol118; maringsaibol143; maringsaibol147; maringsaibol148; maringsaibol149; maringsaibol152; maringsaibol153; maringsaibol156; maringsaibol157; maringsaibol182; maringsaibol186; maringsaibol187; maringsaibol188; maringsaibol191; maringsaibol192; maringsaibol195; maringsaibol196,maringsaibol
maringsaibolM04,k a,pre,1.sg.fut.aff; 1.sg.fut.aff; 1.pl.excl.fut.aff; 1.pl.excl.fut.aff; 1.pl.incl.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.sg.2.pl.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff; 1.sg.3.pl.fut.aff; 1.pl.excl.3.sg.fut.aff; 1.pl.incl.3.sg.fut.aff; 1.pl.excl.3.pl.fut.aff; 1.pl.excl.3.pl.fut.aff; 1.pl.incl.3.pl.fut.aff; 2.pl.fut.aff; 2.sg.1.sg.fut.aff; 2.sg.1.pl.excl.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.pl.excl.fut.aff; 2.sg.3.sg.fut.aff; 2.sg.3.pl.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.pl.fut.aff; 3.sg.fut.aff; 3.pl.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.pl.excl.fut.aff; 3.sg.1.pl.incl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.pl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.pl.2.pl.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 3.pl.3.pl.fut.aff; 1.sg.nfut.aff; 1.pl.excl.nfut.aff; 1.pl.incl.nfut.aff; 1.sg.2.sg.nfut.aff; 1.sg.2.pl.nfut.aff; 1.pl.excl.2.sg.nfut.aff; 1.pl.excl.2.pl.nfut.aff; 1.sg.3.sg.nfut.aff; 1.sg.3.pl.nfut.aff; 1.pl.excl.3.sg.nfut.aff; 1.pl.incl.3.sg.nfut.aff; 1.pl.excl.3.pl.nfut.aff; 1.pl.incl.3.pl.nfut.aff; 2.sg.nfut.aff; 2.pl.nfut.aff; 2.sg.1.sg.nfut.aff; 2.sg.1.pl.excl.nfut.aff; 2.pl.1.sg.nfut.aff; 2.pl.1.pl.excl.nfut.aff; 2.sg.3.sg.nfut.aff; 2.sg.3.pl.nfut.aff; 2.pl.3.sg.nfut.aff; 2.pl.3.pl.nfut.aff; 3.sg.nfut.aff; 3.pl.nfut.aff; 3.sg.1.sg.nfut.aff; 3.sg.1.pl.excl.nfut.aff; 3.sg.1.pl.incl.nfut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.pl.excl.nfut.aff; 3.pl.1.pl.incl.nfut.aff; 3.sg.2.sg.nfut.aff; 3.sg.2.pl.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.pl.nfut.aff; 3.sg.3.sg.nfut.aff; 3.sg.3.pl.nfut.aff; 3.pl.3.sg.nfut.aff; 3.pl.3.pl.nfut.aff,maringsaibol008; maringsaibol009; maringsaibol010; maringsaibol011; maringsaibol012; maringsaibol013; maringsaibol014; maringsaibol015; maringsaibol016; maringsaibol017; maringsaibol018; maringsaibol019; maringsaibol020; maringsaibol021; maringsaibol022; maringsaibol023; maringsaibol024; maringsaibol025; maringsaibol026; maringsaibol027; maringsaibol028; maringsaibol029; maringsaibol030; maringsaibol031; maringsaibol032; maringsaibol033; maringsaibol034; maringsaibol035; maringsaibol036; maringsaibol037; maringsaibol038; maringsaibol039; maringsaibol040; maringsaibol041; maringsaibol042; maringsaibol043; maringsaibol044; maringsaibol045; maringsaibol046; maringsaibol047; maringsaibol048; maringsaibol049; maringsaibol050; maringsaibol051; maringsaibol052; maringsaibol053; maringsaibol054; maringsaibol055; maringsaibol056; maringsaibol057; maringsaibol058; maringsaibol059; maringsaibol060; maringsaibol061; maringsaibol119; maringsaibol120; maringsaibol121; maringsaibol122; maringsaibol123; maringsaibol124; maringsaibol125; maringsaibol126; maringsaibol127; maringsaibol128; maringsaibol129; maringsaibol130; maringsaibol131; maringsaibol132; maringsaibol133; maringsaibol134; maringsaibol135; maringsaibol136; maringsaibol137; maringsaibol138; maringsaibol139; maringsaibol140; maringsaibol141; maringsaibol142; maringsaibol143; maringsaibol144; maringsaibol145; maringsaibol146; maringsaibol147; maringsaibol148; maringsaibol149; maringsaibol150; maringsaibol151; maringsaibol152; maringsaibol153; maringsaibol154; maringsaibol155; maringsaibol156; maringsaibol157,maringsaibol
maringsaibolM05,k ei,free,1.sg; 1.pl.excl,maringsaibol001; maringsaibol002,maringsaibol
maringsaibolM06,m a,free,3.sg; 3.pl,maringsaibol006; maringsaibol007,maringsaibol
maringsaibolM07,m a k,post,1.sg.fut.neg; 1.sg.fut.neg; 1.pl.excl.fut.neg; 1.pl.excl.fut.neg; 1.pl.incl.fut.neg; 1.sg.2.sg.fut.neg; 1.sg.2.sg.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.pl.excl.2.sg.fut.neg; 1.pl.excl.2.sg.fut.neg; 1.pl.excl.2.pl.fut.neg; 1.pl.excl.2.pl.fut.neg; 1.sg.3.sg.fut.neg; 1.sg.3.sg.fut.neg; 1.pl.excl.3.sg.fut.neg; 1.pl.excl.3.sg.fut.neg; 1.pl.incl.3.sg.fut.neg; 1.pl.excl.3.pl.fut.neg; 1.pl.excl.3.pl.fut.neg; 1.pl.incl.3.pl.fut.neg; 2.sg.fut.neg; 2.pl.fut.neg; 2.sg.1.sg.fut.neg; 2.sg.1.pl.excl.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.pl.excl.fut.neg; 2.sg.3.sg.fut.neg; 2.sg.3.pl.fut.neg; 2.pl.3.sg.fut.neg; 2.pl.3.pl.fut.neg; 3.sg.fut.neg; 3.pl.fut.neg; 3.pl.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.pl.excl.fut.neg; 3.sg.1.pl.incl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.sg.2.sg.fut.neg; 3.sg.2.pl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 3.pl.2.pl.fut.neg; 3.sg.3.sg.fut.neg; 3.sg.3.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg; 3.pl.3.pl.fut.neg; 1.sg.nfut.neg; 1.pl.excl.nfut.neg; 1.pl.incl.nfut.neg; 1.sg.2.sg.nfut.neg; 1.sg.2.pl.nfut.neg; 1.pl.excl.2.sg.nfut.neg; 1.pl.excl.2.pl.nfut.neg; 1.sg.3.sg.nfut.neg; 1.sg.3.pl.nfut.neg; 1.pl.excl.3.sg.nfut.neg; 1.pl.incl.3.sg.nfut.neg; 1.pl.excl.3.pl.nfut.neg; 1.pl.incl.3.pl.nfut.neg; 2.sg.nfut.neg; 2.pl.nfut.neg; 2.sg.1.sg.nfut.neg; 2.sg.1.pl.excl.nfut.neg; 2.pl.1.sg.nfut.neg; 2.pl.1.pl.excl.nfut.neg; 2.sg.3.sg.nfut.neg; 2.sg.3.pl.nfut.neg; 2.pl.3.sg.nfut.neg; 2.pl.3.pl.nfut.neg; 3.sg.nfut.neg; 3.pl.nfut.neg; 3.sg.1.sg.nfut.neg; 3.sg.1.pl.excl.nfut.neg; 3.sg.1.pl.incl.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.incl.nfut.neg; 3.sg.2.sg.nfut.neg; 3.sg.2.pl.nfut.neg; 3.pl.2.sg.nfut.neg; 3.pl.2.pl.nfut.neg; 3.sg.3.sg.nfut.neg; 3.sg.3.pl.nfut.neg; 3.pl.3.sg.nfut.neg; 3.pl.3.pl.nfut.neg,maringsaibol062; maringsaibol063; maringsaibol064; maringsaibol065; maringsaibol066; maringsaibol067; maringsaibol068; maringsaibol069; maringsaibol070; maringsaibol071; maringsaibol072; maringsaibol073; maringsaibol074; maringsaibol075; maringsaibol076; maringsaibol077; maringsaibol078; maringsaibol079; maringsaibol080; maringsaibol081; maringsaibol082; maringsaibol083; maringsaibol084; maringsaibol085; maringsaibol086; maringsaibol087; maringsaibol088; maringsaibol089; maringsaibol090; maringsaibol091; maringsaibol092; maringsaibol093; maringsaibol094; maringsaibol095; maringsaibol096; maringsaibol097; maringsaibol098; maringsaibol099; maringsaibol100; maringsaibol101; maringsaibol102; maringsaibol103; maringsaibol104; maringsaibol105; maringsaibol106; maringsaibol107; maringsaibol108; maringsaibol109; maringsaibol110; maringsaibol111; maringsaibol112; maringsaibol113; maringsaibol114; maringsaibol115; maringsaibol116; maringsaibol117; maringsaibol118; maringsaibol158; maringsaibol159; maringsaibol160; maringsaibol161; maringsaibol162; maringsaibol163; maringsaibol164; maringsaibol165; maringsaibol166; maringsaibol167; maringsaibol168; maringsaibol169; maringsaibol170; maringsaibol171; maringsaibol172; maringsaibol173; maringsaibol174; maringsaibol175; maringsaibol176; maringsaibol177; maringsaibol178; maringsaibol179; maringsaibol180; maringsaibol181; maringsaibol182; maringsaibol183; maringsaibol184; maringsaibol185; maringsaibol186; maringsaibol187; maringsaibol188; maringsaibol189; maringsaibol190; maringsaibol191; maringsaibol192; maringsaibol193; maringsaibol194; maringsaibol195; maringsaibol196,maringsaibol
maringsaibolM08,m a ŋ,post,1.sg.fut.aff; 1.pl.excl.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff; 1.pl.excl.3.pl.fut.aff; 1.sg.fut.neg; 1.pl.excl.fut.neg; 1.sg.2.sg.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.pl.excl.2.sg.fut.neg; 1.pl.excl.2.pl.fut.neg; 1.sg.3.sg.fut.neg; 1.pl.excl.3.sg.fut.neg; 1.pl.excl.3.pl.fut.neg,maringsaibol008; maringsaibol010; maringsaibol013; maringsaibol015; maringsaibol017; maringsaibol019; maringsaibol021; maringsaibol023; maringsaibol027; maringsaibol062; maringsaibol064; maringsaibol067; maringsaibol069; maringsaibol071; maringsaibol073; maringsaibol075; maringsaibol077; maringsaibol079; maringsaibol082,maringsaibol
maringsaibolM09,m ei,post,3.pl.1.sg.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 3.pl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg,maringsaibol044; maringsaibol046; maringsaibol048; maringsaibol052; maringsaibol054; maringsaibol058; maringsaibol060; maringsaibol096; maringsaibol101; maringsaibol103; maringsaibol105; maringsaibol109; maringsaibol111; maringsaibol115; maringsaibol117,maringsaibol
maringsaibolM10,m i n,post,1.pl.incl.fut.aff; 1.pl.incl.3.sg.fut.aff; 1.pl.incl.3.pl.fut.aff; 1.pl.incl.fut.neg; 1.pl.incl.3.sg.fut.neg; 1.pl.incl.3.pl.fut.neg; 1.pl.incl.nfut.aff; 1.pl.incl.3.sg.nfut.aff; 1.pl.incl.3.pl.nfut.aff; 1.pl.incl.nfut.neg; 1.pl.incl.3.sg.nfut.neg; 1.pl.incl.3.pl.nfut.neg,maringsaibol012; maringsaibol026; maringsaibol029; maringsaibol066; maringsaibol081; maringsaibol084; maringsaibol121; maringsaibol129; maringsaibol131; maringsaibol160; maringsaibol168; maringsaibol170,maringsaibol
